"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","BHR","Bahrain","2016","2016",928,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","BHR","Bahrain","2017","2017",751,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","BHR","Bahrain","2018","2018",573,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GIN","Guinea","2014","2014",505734,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ITA","Italy","2018","2018",2420,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","LSO","Lesotho","2014","2014",43482,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","THA","Thailand","2015","2015",81043,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","THA","Thailand","2018","2018",65111,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ROU","Romania","2018","2018",6137,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Asia (Central and Southern)","2014","2014",27117430,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Asia (Central and Southern)","2015","2015",25024643,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Asia (Central and Southern)","2016","2016",22858630,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Asia (Central and Southern)","2017","2017",21915755,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Asia (Central and Southern)","2018","2018",20554562,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Asia (Central and Southern)","2019","2019",19199399,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2014","2014",844288,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2015","2015",804208,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2016","2016",734540,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2017","2017",719096,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2018","2018",676951,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2019","2019",647737,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MDG","Madagascar","2018","2018",493868,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2014","2014",26785843,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2015","2015",26264220,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2016","2016",25494464,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2017","2017",24945583,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2018","2018",24818504,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2019","2019",24568396,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BFA","Burkina Faso","2014","2014",763646,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BFA","Burkina Faso","2018","2018",769429,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","AFG","Afghanistan","2018","2018",1075270,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GTM","Guatemala","2014","2014",112867,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HND","Honduras","2014","2014",34583,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HND","Honduras","2015","2015",28527,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HND","Honduras","2016","2016",26638,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HND","Honduras","2018","2018",18023,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PAK","Pakistan","2014","2014",4169606,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PAK","Pakistan","2017","2017",4021068,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","UGA","Uganda","2018","2018",488437,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","DZA","Algeria","2018","2018",81738,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GRD","Grenada","2014","2014",47,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MNG","Mongolia","2018","2018",2099,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","KGZ","Kyrgyzstan","2018","2018",964,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","PER","Peru","2014","2014",32134,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","PER","Peru","2015","2015",32568,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","PER","Peru","2016","2016",35730,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","PER","Peru","2017","2017",31056,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","PER","Peru","2018","2018",27936,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","WSM","Samoa","2018","2018",213,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","OMN","Oman","2014","2014",2552,"+","National Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","OMN","Oman","2015","2015",3253,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","OMN","Oman","2016","2016",2646,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","OMN","Oman","2017","2017",2688,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","OMN","Oman","2018","2018",2601,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUN","Tunisia","2014","2014",36417,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ZMB","Zambia","2018","2018",133422,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40617","Western Asia and Northern Africa","2014","2014",4094867,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40617","Western Asia and Northern Africa","2015","2015",5204147,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40617","Western Asia and Northern Africa","2016","2016",4328477,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40617","Western Asia and Northern Africa","2017","2017",4022455,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40617","Western Asia and Northern Africa","2018","2018",5381645,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40617","Western Asia and Northern Africa","2019","2019",5313040,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","UZB","Uzbekistan","2014","2014",1,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","UZB","Uzbekistan","2015","2015",1,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","UZB","Uzbekistan","2016","2016",,"n","Magnitude nil or negligible"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","UZB","Uzbekistan","2018","2018",2,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40510","World","2014","2014",62383231,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40510","World","2015","2015",61239185,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40510","World","2016","2016",57917033,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40510","World","2017","2017",56334041,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40510","World","2018","2018",56365616,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40510","World","2019","2019",54988013,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ABW","Aruba","2018","2018",45,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","TUR","Turkey","2014","2014",16520,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","TUR","Turkey","2015","2015",12798,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","TUR","Turkey","2016","2016",9360,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","TUR","Turkey","2017","2017",6224,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","SYC","Seychelles","2018","2018",97,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","DOM","Dominican Republic","2014","2014",18616,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","DOM","Dominican Republic","2015","2015",18744,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","DOM","Dominican Republic","2016","2016",10753,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40611","Asia (Eastern)","2014","2014",543159,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40611","Asia (Eastern)","2015","2015",505963,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40611","Asia (Eastern)","2016","2016",476644,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40611","Asia (Eastern)","2017","2017",452307,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40611","Asia (Eastern)","2018","2018",434004,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40611","Asia (Eastern)","2019","2019",410887,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40619","Asia (Eastern and South-eastern)","2014","2014",2016533,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40619","Asia (Eastern and South-eastern)","2015","2015",1914503,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40619","Asia (Eastern and South-eastern)","2016","2016",1809212,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40619","Asia (Eastern and South-eastern)","2017","2017",1714755,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40619","Asia (Eastern and South-eastern)","2018","2018",1658331,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40619","Asia (Eastern and South-eastern)","2019","2019",1566139,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","IDN","Indonesia","2014","2014",68512,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","IDN","Indonesia","2015","2015",78190,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","IDN","Indonesia","2016","2016",75239,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","IDN","Indonesia","2018","2018",67138,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MNE","Montenegro","2018","2018",330,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PRI","Puerto Rico","2017","2017",16189,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40344","Small Island Developing States","2014","2014",595319,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40344","Small Island Developing States","2015","2015",603525,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40344","Small Island Developing States","2016","2016",585865,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40344","Small Island Developing States","2017","2017",587639,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40344","Small Island Developing States","2018","2018",589720,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40344","Small Island Developing States","2019","2019",591858,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","URY","Uruguay","2014","2014",4472,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","URY","Uruguay","2015","2015",3594,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","URY","Uruguay","2016","2016",2960,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","URY","Uruguay","2017","2017",3755,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","URY","Uruguay","2018","2018",3614,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ZAF","South Africa","2014","2014",67143,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ZAF","South Africa","2015","2015",66422,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ZAF","South Africa","2017","2017",310894,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","CHN","China","2018","2018",175985,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","HTI","Haiti","2016","2016",179149,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","HUN","Hungary","2014","2014",7835,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40030","Middle income countries","2014","2014",29949255,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40030","Middle income countries","2015","2015",30225392,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40030","Middle income countries","2016","2016",28121881,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40030","Middle income countries","2017","2017",27523179,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40030","Middle income countries","2018","2018",28329421,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40030","Middle income countries","2019","2019",27531836,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","NIC","Nicaragua","2015","2015",64259,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40505","Central Asia","2014","2014",8480,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40505","Central Asia","2015","2015",8212,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40505","Central Asia","2016","2016",7814,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40505","Central Asia","2017","2017",8062,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40505","Central Asia","2018","2018",7309,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40505","Central Asia","2019","2019",6745,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","BOL","Bolivia (Plurinational State of)","2015","2015",6107,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","IRN","Iran (Islamic Republic of)","2014","2014",118854,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","IRN","Iran (Islamic Republic of)","2016","2016",104850,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40535","South and West Asia","2014","2014",18989521,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40535","South and West Asia","2015","2015",18239733,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40535","South and West Asia","2016","2016",16996410,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40535","South and West Asia","2017","2017",16326623,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40535","South and West Asia","2018","2018",15779262,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40535","South and West Asia","2019","2019",14988049,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","COL","Colombia","2014","2014",82143,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","COL","Colombia","2015","2015",80328,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","COL","Colombia","2016","2016",74041,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","COL","Colombia","2018","2018",60587,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SRB","Serbia","2016","2016",1444,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SGP","Singapore","2014","2014",342,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SGP","Singapore","2015","2015",573,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SGP","Singapore","2016","2016",208,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SGP","Singapore","2017","2017",204,,
