country,Avg Social index of country
Argentina,67.91917757327018
Australia,84.78430035540822
Austria,86.49193875775715
Belgium,76.02205344196899
Brazil,59.66254990483404
Canada,87.40748900645224
China,66.04270461931458
Colombia,67.79741751757548
Czech Republic,92.21325846363835
Denmark,87.33830715148419
Ecuador,63.61814316520153
Finland,89.77175304296564
France,82.88428221494166
Germany,88.35018634369449
Ghana,71.66800373336605
Greece,75.37219451366663
Guatemala,67.05970954102342
Hungary,86.58161144308224
Indonesia,65.81966565480839
Ireland,78.01150582535021
Italy,80.48844568313551
Japan,89.2383819706578
Kenya,58.41480652686949
Mexico,71.00932798894252
Mongolia,67.10190887854132
Morocco,76.76568332769197
Netherlands,88.86719201203528
Nigeria,42.43707676793963
Norway,87.61355125382083
Panama,57.752407142226666
Peru,48.30063404323392
Poland,86.98533097118298
Portugal,69.46250624862762
South Africa,49.98371638401224
Spain,75.05491890361401
Sweden,85.40686535766349
Switzerland,87.34610104613292
Tanzania,65.77744767318534
Thailand,75.82963085141844
Uganda,62.39281678928372
United Kingdom,81.17330298570224
United States,77.97077217187984
Vietnam,85.66625749322564
Zimbabwe,59.70425900781954
