country,Avg infra index of country
Argentina,72.21191547432849
Australia,81.32158896927695
Austria,88.94118206592513
Belgium,85.29613551634532
Brazil,60.41999754748936
Canada,77.28414130944374
China,70.485772166782
Colombia,74.83284080096564
Czech Republic,88.20314162728485
Denmark,83.8985952924266
Ecuador,58.92645134879709
Finland,88.08568981379607
France,84.34376422989476
Germany,86.88597712590254
Ghana,31.908379155411716
Greece,84.05735294117646
Guatemala,59.50743994905865
Hungary,81.80235593832717
Indonesia,58.59986798449336
Ireland,79.12397114317375
Italy,79.23237417202517
Japan,80.70039856295818
Kenya,36.80788349885738
Mexico,63.99967851428838
Mongolia,48.408587296948774
Morocco,54.50499996619912
Netherlands,83.74119511543975
Nigeria,37.451112953081335
Norway,90.165467139548
Panama,54.526679538907175
Peru,52.23336387068304
Poland,73.8640098718785
Portugal,83.53902233650274
South Africa,42.95393096302658
Spain,83.8985237366663
Sweden,89.66617148362681
Switzerland,87.6550752513967
Tanzania,29.839676612864594
Thailand,39.284520990139406
Uganda,28.980462570746248
United Kingdom,85.09450093250274
United States,73.85054737620311
Vietnam,53.74802106633821
Zimbabwe,43.96358077325749
