country,Avg Urban Gov index of country
Argentina,79.39
Australia,93.23
Austria,75.0
Belgium,89.37
Brazil,84.22915142412194
Canada,61.11
China,6.163333333333333
Czech Republic,59.08
Denmark,87.74
Ecuador,76.18268530459417
Egypt,28.26999999999999
Finland,68.86
France,80.35
Germany,71.53
Ghana,80.1
Greece,62.47
Guatemala,60.83
Hungary,61.84
Indonesia,69.58
Ireland,56.11
Italy,75.19
Japan,55.83
Kenya,85.91
Liberia,38.6
Mexico,51.375370454958635
Mongolia,66.79
Morocco,45.4
Netherlands,74.56
Nigeria,53.68
Norway,78.23
Panama,76.7602845445249
Peru,81.01217999583984
Poland,55.0
Portugal,58.0
Singapore,94.65
South Africa,73.48
Spain,68.94
Sweden,85.0
Switzerland,20.5
Tanzania,42.84
Thailand,46.79
Uganda,59.29
United Kingdom,65.8
United States,59.5
Vietnam,99.494
Zambia,53.6
Zimbabwe,54.38
