country,2019 GDP per capita
Aruba,
Afghanistan,502.1154869
Angola,2973.59116
Albania,5352.857411
Andorra,40886.39116
Arab World,6580.056257
United Arab Emirates,43103.32306
Argentina,10006.14897
Armenia,4622.733493
American Samoa,
Antigua and Barbuda,17790.30931
Australia,54907.101910000005
Austria,50277.275089999996
Azerbaijan,4793.58702
Burundi,261.2474725
Belgium,46116.69923
Benin,1219.4326720000001
Burkina Faso,774.8396902000001
Bangladesh,1855.7398239999998
Bulgaria,9737.601351000001
Bahrain,23503.977130000003
"Bahamas, The",32933.48601
Bosnia and Herzegovina,6073.265203
Belarus,6663.295293
Belize,4815.163711
Bermuda,
Bolivia,3552.068762
Brazil,8717.186278
Barbados,18148.24493
Brunei Darussalam,31086.751080000002
Bhutan,
Botswana,7961.338140000001
Central African Republic,467.90744060000003
Canada,46194.725230000004
Central Europe and the Baltics,16184.33201
Switzerland,81993.72715
Channel Islands,
Chile,14896.45387
China,10261.67913
Cote d'Ivoire,2286.162777
Cameroon,1497.909176
"Congo, Dem. Rep.",545.2162122999999
"Congo, Rep.",2011.072399
Colombia,6432.387583
Comoros,1393.5223720000001
Cabo Verde,3603.7817939999995
Costa Rica,12238.37496
Caribbean small states,10307.58628
Cuba,
Curacao,
Cayman Islands,
Cyprus,27858.371
Czech Republic,23101.7777
Germany,46258.87829
Djibouti,3408.846254
Dominica,8300.375074
Denmark,59822.09296
Dominican Republic,8282.116222
Algeria,3948.3432789999997
East Asia & Pacific (excluding high income),8222.077729999999
Early-demographic dividend,3641.4942810000002
East Asia & Pacific,11526.736490000001
Europe & Central Asia (excluding high income),8110.721448
Europe & Central Asia,24696.33961
Ecuador,6183.823825
"Egypt, Arab Rep.",3020.03135
Euro area,38925.66511
Eritrea,
Spain,29613.67114
Estonia,23659.87229
Ethiopia,857.501351
European Union,34843.29747
Fragile and conflict affected situations,2190.311626
Finland,48685.853989999996
Fiji,6220.046421
France,40493.92857
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,7667.3668609999995
United Kingdom,42300.26713
Georgia,4769.186543
Ghana,2202.1155670000003
Gibraltar,
Guinea,1064.1312369999998
"Gambia, The",751.2946883999999
Guinea-Bissau,697.7844029
Equatorial Guinea,8131.923887999999
Greece,19582.53601
Grenada,10965.513159999999
Greenland,
Guatemala,4619.987097
Guam,
