country,1960 urban population%,2019 urban population%,change of urbanization % since 1960
Aruba,50.776,43.54600000000001,-7.229999999999997
Afghanistan,8.401,25.754,17.353
Angola,10.435,66.17699999999999,55.74199999999999
Albania,30.705,61.229,30.524
Andorra,58.45,87.984,29.533999999999992
Arab World,31.23414254,59.20164687,27.967504329999997
United Arab Emirates,73.5,86.789,13.289000000000001
Argentina,73.611,91.991,18.379999999999995
Armenia,51.275,63.218999999999994,11.943999999999996
American Samoa,66.211,87.147,20.936000000000007
Antigua and Barbuda,39.656,24.506,-15.149999999999999
Australia,81.529,86.124,4.594999999999999
Austria,64.72,58.515,-6.204999999999998
Azerbaijan,52.663000000000004,56.031000000000006,3.368000000000002
Burundi,2.077,13.366,11.289
Belgium,92.46,98.041,5.581000000000003
Benin,9.275,47.861000000000004,38.586000000000006
Burkina Faso,4.7,29.98,25.28
Bangladesh,5.135,37.405,32.27
Bulgaria,37.1,75.347,38.24699999999999
Bahrain,82.32,89.39399999999999,7.073999999999998
"Bahamas, The",59.711999999999996,83.132,23.42000000000001
Bosnia and Herzegovina,19.04,48.626000000000005,29.586000000000006
Belarus,32.400999999999996,79.044,46.643
Belize,54.028,45.86600000000001,-8.161999999999992
Bermuda,100.0,100.0,0.0
Bolivia,36.762,69.773,33.010999999999996
Brazil,46.138999999999996,86.824,40.685
Barbados,36.777,31.158,-5.619
Brunei Darussalam,43.401,77.942,34.54099999999999
Bhutan,3.596,41.611999999999995,38.01599999999999
Botswana,3.06,70.172,67.112
Central African Republic,20.1,41.77,21.67
Canada,69.061,81.482,12.420999999999992
Central Europe and the Baltics,44.50789271,62.438356299999995,17.930463589999995
Switzerland,70.92399999999999,73.84899999999999,2.924999999999997
Channel Islands,38.7,30.930999999999997,-7.7690000000000055
Chile,67.836,87.64299999999999,19.806999999999988
China,16.203,60.308,44.105000000000004
Cote d'Ivoire,17.679000000000002,51.239,33.559999999999995
Cameroon,13.937000000000001,56.968,43.031000000000006
"Congo, Dem. Rep.",22.3,45.04600000000001,22.746000000000006
"Congo, Rep.",31.601,67.373,35.772000000000006
Colombia,46.268,81.104,34.836
Comoros,12.550999999999998,29.164,16.613000000000003
Cabo Verde,16.679000000000002,66.195,49.51599999999999
Costa Rica,34.254,80.07600000000001,45.82200000000001
Caribbean small states,34.98327801,51.37003905,16.386761040000003
Cuba,58.401,77.109,18.70799999999999
Curacao,74.71,89.098,14.388000000000005
Cayman Islands,100.0,100.0,0.0
Cyprus,35.628,66.805,31.177000000000007
Czech Republic,59.548,73.921,14.373000000000005
Germany,71.384,77.376,5.992000000000004
Djibouti,50.325,77.915,27.590000000000003
Dominica,37.846,70.786,32.940000000000005
Denmark,73.687,87.994,14.307000000000002
Dominican Republic,30.191,81.828,51.637
Algeria,30.51,73.189,42.67899999999999
East Asia & Pacific (excluding high income),16.91897151,56.57000362,39.65103211
Early-demographic dividend,22.90627206,45.54079619,22.634524130000003
East Asia & Pacific,22.57317612,59.88653274,37.31335662
Europe & Central Asia (excluding high income),45.74028067,67.81875803,22.07847736
Europe & Central Asia,55.56496551,72.40914876,16.844183249999993
Ecuador,33.878,63.986000000000004,30.108000000000004
"Egypt, Arab Rep.",37.864000000000004,42.73,4.8659999999999926
Euro area,62.09029958,77.21768572,15.127386140000006
Eritrea,9.799,,
Spain,56.567,80.565,23.997999999999998
Estonia,57.533,69.051,11.518
Ethiopia,6.433,21.225,14.792000000000002
European Union,58.67764108,74.72952132,16.051880240000003
Fragile and conflict affected situations,18.17868101,44.95006857,26.77138756
Finland,55.29,85.446,30.156
Fiji,29.680999999999997,56.75,27.069000000000003
France,61.88,80.709,18.829
Faroe Islands,21.383000000000003,42.225,20.842
"Micronesia, Fed. Sts.",22.311999999999998,22.811999999999998,0.5
Gabon,17.398,89.741,72.343
United Kingdom,78.444,83.652,5.207999999999998
Georgia,43.068999999999996,59.038999999999994,15.969999999999999
Ghana,23.252,56.707,33.455
Gibraltar,100.0,100.0,0.0
Guinea,10.472000000000001,36.5,26.028
"Gambia, The",12.129000000000001,61.931000000000004,49.80200000000001
Guinea-Bissau,13.6,43.777,30.177
Equatorial Guinea,25.537,72.627,47.089999999999996
Greece,55.93600000000001,79.388,23.451999999999998
Grenada,30.331999999999997,36.396,6.064000000000004
Greenland,58.534,87.052,28.518000000000008
Guatemala,31.121,51.43899999999999,20.317999999999994
Guam,50.147,94.859,44.711999999999996
Guyana,29.009,26.689,-2.3200000000000003
High income,62.79066859,81.04744009999999,18.256771509999986
"Hong Kong SAR, China",85.2,100.0,14.799999999999997
Honduras,22.747,57.73,34.983
Heavily indebted poor countries (HIPC),12.36301028,36.48128141,24.118271130000004
Croatia,30.154,57.242,27.087999999999997
Haiti,15.593,56.192,40.599000000000004
Hungary,55.911,71.64399999999999,15.73299999999999
IBRD only,26.0037232,55.61627245,29.612549249999997
