country,2014 usable water per capita
Aruba,
Afghanistan,1412.912141
Angola,5493.326925
Albania,9310.845162
Andorra,3984.1945140000003
Arab World,292.4444603
United Arab Emirates,16.27926537
Argentina,6843.295562
Armenia,2355.099895
American Samoa,
Antigua and Barbuda,561.785614
Australia,20957.85401
Austria,6435.4913369999995
Azerbaijan,851.0679356
Burundi,1021.911468
Belgium,1070.562849
Benin,1001.27911
Burkina Faso,710.7919889
Bangladesh,679.5229517999999
Bulgaria,2907.001694
Bahrain,2.993843908
"Bahamas, The",1888.6607510000001
Bosnia and Herzegovina,10194.98556
Belarus,3588.575706
Belize,43184.6867
Bermuda,
Bolivia,28347.22067
Brazil,27919.19374
Barbados,280.874221
Brunei Darussalam,20743.39445
Bhutan,108475.5568
Botswana,1149.087385
Central African Republic,31584.7833
Canada,80423.42794
Central Europe and the Baltics,2417.577175
Switzerland,4933.658776
Channel Islands,
Chile,49834.002089999994
China,2061.908566
Cote d'Ivoire,3392.8415549999995
Cameroon,12036.05101
"Congo, Dem. Rep.",12200.50356
"Congo, Rep.",46865.361730000004
Colombia,45668.21638
Comoros,1580.215699
Cabo Verde,578.8499795
Costa Rica,23564.26873
Caribbean small states,51798.89411
Cuba,3371.392093
Curacao,
Cayman Islands,
Cyprus,676.9158672
Czech Republic,1249.364985
Germany,1321.273115
Djibouti,333.81699710000004
Dominica,2813.5330940000003
Denmark,1063.174728
Dominican Republic,2311.81392
Algeria,289.02709039999996
East Asia & Pacific (excluding high income),4341.731962
Early-demographic dividend,3924.1754490000003
East Asia & Pacific,4522.053204999999
Europe & Central Asia (excluding high income),12965.15041
Europe & Central Asia,7861.128756
Ecuador,27733.48125
"Egypt, Arab Rep.",19.90607562
Euro area,2980.865912
Eritrea,
Spain,2392.381453
Estonia,9668.744698999999
Ethiopia,1243.70181
European Union,3065.401346
Fragile and conflict affected situations,7296.7863099999995
Finland,19591.64422
Fiji,32950.43124
France,3016.0423140000003
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,87058.07411
United Kingdom,2244.5022
Georgia,15628.806040000001
Ghana,1112.969243
Gibraltar,
Guinea,20267.28241
"Gambia, The",1482.182682
Guinea-Bissau,9453.811925
Equatorial Guinea,23167.20664
Greece,5324.807276
Grenada,1836.513563
Greenland,
Guatemala,7134.309784
Guam,
Guyana,315701.2235
High income,8702.087741
"Hong Kong SAR, China",
Honduras,10123.28726
Heavily indebted poor countries (HIPC),5803.650183
Croatia,8894.889072
Haiti,1233.2913199999998
Hungary,608.1203527000001
IBRD only,5851.504715
IDA & IBRD total,5538.374299
IDA total,4571.523551
IDA blend,3310.7295649999996
Indonesia,7913.643562
IDA only,5209.773989
Isle of Man,
India,1116.081607
Not classified,
Ireland,10520.12349
"Iran, Islamic Rep.",1658.797533
Iraq,1022.9004449999999
Iceland,519264.7212
Israel,91.28863031
Italy,3002.180982
Jamaica,3763.30024
Jordan,76.4569791
Japan,3378.4845530000002
Kazakhstan,3722.173715
Kenya,443.2549983
Kyrgyz Republic,8384.885614
Cambodia,7895.510577
Kiribati,
St. Kitts and Nevis,472.68286919999997
"Korea, Rep.",1277.916641
Kuwait,0.0
Latin America & Caribbean (excluding high income),21793.30746
Lao PDR,28675.752539999998
