country,2019 FDI data
Aruba,-76041739.42
Afghanistan,23404553.65
Angola,-4098478748.0
Albania,1201022154.0
Andorra,
Arab World,32853146436.0
United Arab Emirates,13787465940.0
Argentina,6663062112.0
Armenia,254077251.7
American Samoa,
Antigua and Barbuda,139466666.7
Australia,40074777481.0
Austria,-8100275768.0
Azerbaijan,1503918000.0
Burundi,1044960.5009999999
Belgium,-28965673808.0
Benin,230191998.5
Burkina Faso,207950227.8
Bangladesh,2003078501.0
Bulgaria,1504060000.0
Bahrain,941755319.1
"Bahamas, The",264596251.7
Bosnia and Herzegovina,390210690.9
Belarus,1273300000.0
Belize,102890130.2
Bermuda,119258666.7
Bolivia,-159539118.4
Brazil,73503730876.0
Barbados,215370000.0
Brunei Darussalam,373256767.2
Bhutan,13032399.58
Botswana,260927936.1
Central African Republic,25601157.42
Canada,47845284757.0
Central Europe and the Baltics,76338862348.0
Switzerland,-18382529056.0
Channel Islands,
Chile,11928369565.0
China,155815000000.0
Cote d'Ivoire,1008704755.0
Cameroon,781636119.5
"Congo, Dem. Rep.",1350994226.0
"Congo, Rep.",3366085029.0
Colombia,14313721547.0
Comoros,7859590.307999999
Cabo Verde,105301877.8
Costa Rica,2505080215.0
Caribbean small states,3701608821.0
Cuba,
Curacao,58857101.25
Cayman Islands,34689770001.0
Cyprus,23840776171.0
Czech Republic,9332858121.0
Germany,72211216446.0
Djibouti,181913000.0
Dominica,32551851.85
Denmark,-7837367041.0
Dominican Republic,2824500000.0
Algeria,1381890090.0
East Asia & Pacific (excluding high income),228142000000.0
Early-demographic dividend,217893000000.0
East Asia & Pacific,493719000000.0
Europe & Central Asia (excluding high income),68600987784.0
Europe & Central Asia,325662000000.0
Ecuador,937624269.5
"Egypt, Arab Rep.",9010100000.0
Euro area,163923000000.0
Eritrea,67116000.0
Spain,11431907234.0
Estonia,2962634486.0
Ethiopia,2516228020.0
European Union,247425000000.0
Fragile and conflict affected situations,17167816419.0
Finland,8854309516.0
Fiji,322557661.4
France,51038713851.0
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,1553136883.0
United Kingdom,20696989466.0
Georgia,1268912420.0
Ghana,2318800000.0
Gibraltar,
Guinea,44400000.0
"Gambia, The",32266071.55
Guinea-Bissau,30612874.13
Equatorial Guinea,452287114.4
Greece,4611617008.0
Grenada,131044444.4
Greenland,
Guatemala,966759860.0
Guam,
Guyana,1713333086.0
High income,1079600000000.0
"Hong Kong SAR, China",53171228236.0
Honduras,955095298.0
Heavily indebted poor countries (HIPC),23819691191.0
Croatia,1170052265.0
Haiti,75000000.0
Hungary,32049970433.0
IBRD only,541690000000.0
IDA & IBRD total,586368000000.0
IDA total,44677841680.0
IDA blend,14735583454.0
Indonesia,24946901158.0
IDA only,29942258226.0
Isle of Man,
India,50610647354.0
Not classified,
Ireland,-46633226471.0
"Iran, Islamic Rep.",1508000000.0
Iraq,-3075600000.0
Iceland,-480910801.7
Israel,19047100000.0
Italy,29220591590.0
Jamaica,665416000.0
Jordan,825492957.7
Japan,37176832958.0
Kazakhstan,3587949041.0
Kenya,1332436904.0
Kyrgyz Republic,210725400.0
Cambodia,3663032999.0
Kiribati,482545.0943
St. Kitts and Nevis,92266666.67
"Korea, Rep.",10565600000.0
Kuwait,675272105.1
Latin America & Caribbean (excluding high income),146252000000.0
Lao PDR,557176540.0
Lebanon,2223271880.0
Liberia,137800000.0
Libya,
St. Lucia,30640740.74
Latin America & Caribbean,258809000000.0
Least developed countries: UN classification,17794182456.0
Low income,10942042302.0
Liechtenstein,
Sri Lanka,758186663.2
Lower middle income,123778000000.0
Low & middle income,542405000000.0
Lesotho,117645547.2
Late-demographic dividend,368317000000.0
Lithuania,1353295478.0
Luxembourg,-11420831094.0
Latvia,1059246101.0
"Macao SAR, China",6193570127.0
St. Martin (French part),
Morocco,1599761098.0
Monaco,
Moldova,593010000.0
Madagascar,227267487.3
Maldives,891144415.0
Middle East & North Africa,58313028049.0
Mexico,29360171664.0
Marshall Islands,4177233.798
Middle income,531463000000.0
North Macedonia,476895772.9
Mali,493823353.8
Malta,4476080088.0
Myanmar,2292325392.0
Middle East & North Africa (excluding high income),14215653193.0
Montenegro,462868328.5
Mongolia,2443343095.0
Northern Mariana Islands,
Mozambique,2180768236.0
Mauritania,-883561115.8
Mauritius,472302807.1
Malawi,98422743.26
Malaysia,7650474717.0
North America,399596000000.0
Namibia,-40639850.24
New Caledonia,413344988.1
Niger,592758635.8
Nigeria,3299085483.0
Nicaragua,503000000.0
Netherlands,35689139761.0
Norway,13782518971.0
Nepal,185554758.7
Nauru,
New Zealand,3875014986.0
OECD members,799744000000.0
Oman,3419765930.0
Other small states,34307926541.0
Pakistan,2218000000.0
Panama,6068041578.0
Peru,8891912000.0
Philippines,7685339334.0
Palau,22000000.0
Papua New Guinea,333974905.4
Poland,15973000000.0
Pre-demographic dividend,13202002708.0
Puerto Rico,
"Korea, Dem. People’s Rep.",25759138.61
Portugal,8270971798.0
Paraguay,391823179.8
West Bank and Gaza,121633487.4
Pacific island small states,425605355.5
Post-demographic dividend,920946000000.0
French Polynesia,32625026.51
Qatar,-2812637363.0
Romania,6911103583.0
Russian Federation,31974770000.0
Rwanda,420159000.0
South Asia,56703048645.0
Saudi Arabia,4562572837.0
Sudan,
Senegal,983338154.0
Singapore,105466000000.0
Solomon Islands,32787092.72
Sierra Leone,367700000.0
El Salvador,724753960.8
San Marino,
Somalia,447000000.0
Serbia,4281889582.0
Sub-Saharan Africa (excluding high income),28491734045.0
South Sudan,-231840000.0
Sub-Saharan Africa,29199715215.0
Small states,38435140718.0
Sao Tome and Principe,28083273.26
Suriname,72402793.87
Slovak Republic,2312686694.0
Slovenia,1709955186.0
Sweden,24397856108.0
Eswatini,127970922.0
Sint Maarten (Dutch part),55277704.1
Seychelles,235678362.2
Syrian Arab Republic,
Turks and Caicos Islands,26961666.67
Chad,566638950.9
East Asia & Pacific (IDA & IBRD countries),228138000000.0
Europe & Central Asia (IDA & IBRD countries),92655143632.0
Togo,133312924.1
Thailand,6130101142.0
Tajikistan,212809730.7
Turkmenistan,2165862500.0
Latin America & the Caribbean (IDA & IBRD countries),165578000000.0
Timor-Leste,74580323.02
Middle East & North Africa (IDA & IBRD countries),14094019706.0
Tonga,1282630.871
South Asia (IDA & IBRD),56703048645.0
Sub-Saharan Africa (IDA & IBRD countries),29199715215.0
Trinidad and Tobago,128563522.3
Tunisia,810173457.7
Turkey,8787000000.0
Tuvalu,298862.0826
Tanzania,1112400000.0
Uganda,1266026788.0
Ukraine,5833000000.0
Upper middle income,407685000000.0
Uruguay,968813451.1
United States,351631000000.0
Uzbekistan,2314621446.0
St. Vincent and the Grenadines,113066666.7
"Venezuela, RB",934000000.0
British Virgin Islands,57996843294.0
Virgin Islands (U.S.),
Vietnam,16120000000.0
Vanuatu,41000000.0
World,1622000000000.0
Samoa,1019329.5079999999
Kosovo,304085465.6
"Yemen, Rep.",-370982777.8
South Africa,4624502604.0
Zambia,547967909.6
Zimbabwe,280000000.0
